mango2, /home/hong/slowfast
config files: ['configs/contrastive_ssl/custom_BYOL_SlowR50_8x8.yaml']
num gpus: 1
[03/29 20:39:37][INFO] memchecker.py:   95: MemCheck
[03/29 20:39:37][INFO] kinetics.py:  117: Constructing Kinetics train...
--------------->>>>>
/home/hong/slowfast/index_files/train.csv
[03/29 20:39:37][INFO] kinetics.py:  174: Constructing kinetics dataloader (size: 1998 skip_rows 0) from /home/hong/slowfast/index_files/train.csv 
[03/29 20:39:37][INFO] kinetics.py:  193: init workers
init done
[03/29 20:39:37][INFO] memchecker.py:  102: Memory check model for 1998 iterations
iter393, time differene: 0.0007159709930419922
iter394, time differene: 0.003297090530395508
iter395, time differene: 0.0004439353942871094
iter396, time differene: 0.008989810943603516
iter397, time differene: 0.000621795654296875
iter398, time differene: 0.010074615478515625
iter399, time differene: 0.0005991458892822266
iter400, time differene: 0.00599360466003418
iter401, time differene: 0.003129243850708008
iter402, time differene: 0.0006089210510253906
iter403, time differene: 0.0006315708160400391
iter404, time differene: 0.004252910614013672
iter405, time differene: 0.0030031204223632812
iter406, time differene: 0.006919384002685547
iter407, time differene: 0.00044274330139160156
iter408, time differene: 0.006750345230102539
iter409, time differene: 0.008674144744873047
iter410, time differene: 0.0006947517395019531
iter411, time differene: 0.0007200241088867188
iter412, time differene: 0.002874135971069336
iter413, time differene: 0.0006937980651855469
iter414, time differene: 0.005814313888549805
iter415, time differene: 0.0004253387451171875
iter416, time differene: 0.010372161865234375
iter417, time differene: 0.0003669261932373047
iter418, time differene: 0.0004291534423828125
iter419, time differene: 0.006670713424682617
iter420, time differene: 0.00043272972106933594
iter421, time differene: 0.01325845718383789
iter422, time differene: 0.0006616115570068359
iter423, time differene: 0.0005381107330322266
iter424, time differene: 0.0028955936431884766
iter425, time differene: 0.00045800209045410156
iter426, time differene: 0.012832403182983398
iter427, time differene: 0.0005662441253662109
iter428, time differene: 0.0005807876586914062
iter429, time differene: 0.008744478225708008
iter430, time differene: 0.0008389949798583984
iter431, time differene: 0.014800310134887695
iter432, time differene: 0.0003693103790283203
iter433, time differene: 0.0003859996795654297
iter434, time differene: 0.0003695487976074219
iter435, time differene: 0.00035262107849121094
iter436, time differene: 0.012029409408569336
iter437, time differene: 0.0004825592041015625
iter438, time differene: 0.0005633831024169922
iter439, time differene: 0.007760286331176758
iter440, time differene: 0.0006847381591796875
iter441, time differene: 0.00654292106628418
iter442, time differene: 0.008146047592163086
iter443, time differene: 0.0004420280456542969
iter444, time differene: 0.0004925727844238281
iter445, time differene: 0.00043082237243652344
iter446, time differene: 0.011691093444824219
iter447, time differene: 0.0007188320159912109
iter448, time differene: 0.0005939006805419922
iter449, time differene: 0.0038318634033203125
iter450, time differene: 0.0032889842987060547
iter451, time differene: 0.013100624084472656
iter452, time differene: 0.0005762577056884766
iter453, time differene: 0.0007112026214599609
iter454, time differene: 0.003259420394897461
iter455, time differene: 0.0005207061767578125
iter456, time differene: 0.017645597457885742
iter457, time differene: 0.0005581378936767578
iter458, time differene: 0.0007319450378417969
iter459, time differene: 0.0007078647613525391
iter460, time differene: 0.0006840229034423828
iter461, time differene: 0.0028944015502929688
iter462, time differene: 0.0033135414123535156
iter463, time differene: 0.006788969039916992
iter464, time differene: 0.011975526809692383
iter465, time differene: 0.0005137920379638672
iter466, time differene: 0.007891654968261719
iter467, time differene: 0.00043487548828125
iter468, time differene: 0.0004925727844238281
iter469, time differene: 0.010773181915283203
iter470, time differene: 0.0005745887756347656
iter471, time differene: 0.005652427673339844
iter472, time differene: 0.0005853176116943359
iter473, time differene: 0.0007398128509521484
iter474, time differene: 0.006628513336181641
iter475, time differene: 0.0004343986511230469
iter476, time differene: 0.008349418640136719
iter477, time differene: 0.00034689903259277344
iter478, time differene: 0.006524562835693359
iter479, time differene: 0.00052642822265625
iter480, time differene: 0.002742767333984375
iter481, time differene: 0.0005772113800048828
iter482, time differene: 0.0030448436737060547
iter483, time differene: 0.0029096603393554688
iter484, time differene: 0.0033605098724365234
iter485, time differene: 0.0030813217163085938
iter486, time differene: 0.0033440589904785156
iter487, time differene: 0.0035958290100097656
iter488, time differene: 0.0035893917083740234
iter489, time differene: 0.0037610530853271484
iter490, time differene: 0.003361225128173828
iter491, time differene: 0.005708456039428711
iter492, time differene: 0.0037565231323242188
iter493, time differene: 0.0007367134094238281
iter494, time differene: 0.010658979415893555
iter495, time differene: 0.0004470348358154297
iter496, time differene: 0.0036516189575195312
iter497, time differene: 0.00030612945556640625
iter498, time differene: 0.0036406517028808594
iter499, time differene: 0.005858659744262695
iter500, time differene: 0.008788347244262695
iter501, time differene: 0.007439374923706055
iter502, time differene: 0.0006830692291259766
iter503, time differene: 0.0006821155548095703
iter504, time differene: 0.0032744407653808594
iter505, time differene: 0.0006182193756103516
iter506, time differene: 0.006372690200805664
iter507, time differene: 0.0004687309265136719
iter508, time differene: 0.009582757949829102
iter509, time differene: 0.008378028869628906
iter510, time differene: 0.0008029937744140625
iter511, time differene: 0.0049822330474853516
iter512, time differene: 0.0073699951171875
iter513, time differene: 0.0004258155822753906
iter514, time differene: 0.008818626403808594
iter515, time differene: 0.0006213188171386719
iter516, time differene: 0.007833480834960938
iter517, time differene: 0.0005867481231689453
iter518, time differene: 0.0034329891204833984
iter519, time differene: 0.0004658699035644531
iter520, time differene: 0.0029153823852539062
iter521, time differene: 0.012798547744750977
iter522, time differene: 0.008821249008178711
iter523, time differene: 0.0004899501800537109
iter524, time differene: 0.0005681514739990234
iter525, time differene: 0.0005178451538085938
iter526, time differene: 0.0032029151916503906
iter527, time differene: 0.004259824752807617
iter528, time differene: 0.016385793685913086
iter529, time differene: 0.00048065185546875
iter530, time differene: 0.00045490264892578125
iter531, time differene: 0.0003979206085205078
iter532, time differene: 0.0077970027923583984
iter533, time differene: 0.0007464885711669922
iter534, time differene: 0.010873794555664062
iter535, time differene: 0.0006189346313476562
iter536, time differene: 0.011343240737915039
iter537, time differene: 0.0006422996520996094
iter538, time differene: 0.0009214878082275391
iter539, time differene: 0.0007085800170898438
iter540, time differene: 0.007867097854614258
iter541, time differene: 0.0006763935089111328
iter542, time differene: 0.004153728485107422
iter543, time differene: 0.0034606456756591797
iter544, time differene: 0.005865573883056641
iter545, time differene: 0.004432201385498047
iter546, time differene: 0.015887975692749023
iter547, time differene: 0.00054168701171875
iter548, time differene: 0.0032525062561035156
iter549, time differene: 0.005746603012084961
iter550, time differene: 0.002892732620239258
iter551, time differene: 0.00041866302490234375
iter552, time differene: 0.0029549598693847656
iter553, time differene: 0.0005800724029541016
iter554, time differene: 0.011687278747558594
iter555, time differene: 0.0011096000671386719
iter556, time differene: 0.0037505626678466797
iter557, time differene: 0.0005030632019042969
iter558, time differene: 0.008057355880737305
iter559, time differene: 0.0006396770477294922
iter560, time differene: 0.010393619537353516
iter561, time differene: 0.00046706199645996094
iter562, time differene: 0.0004513263702392578
iter563, time differene: 0.0006811618804931641
iter564, time differene: 0.0062160491943359375
iter565, time differene: 0.0006260871887207031
iter566, time differene: 0.018296003341674805
iter567, time differene: 0.00030517578125
iter568, time differene: 0.00037384033203125
iter569, time differene: 0.012466907501220703
iter570, time differene: 0.0005061626434326172
iter571, time differene: 0.002580881118774414
iter572, time differene: 0.0003204345703125
iter573, time differene: 0.001199483871459961
iter574, time differene: 0.011916399002075195
iter575, time differene: 0.0005352497100830078
iter576, time differene: 0.004309654235839844
